2026-03-28 00:09:01 | INFO     | src.agent.agent_integration | AgentScope框架加载成功
2026-03-28 00:09:20 | INFO     | src.agent.agent_integration | AgentScope框架加载成功
2026-03-28 00:09:50 | INFO     | src.agent.agent_integration | AgentScope框架加载成功
2026-03-28 00:11:12 | INFO     | src.agent.agent_integration | AgentScope框架加载成功
2026-03-28 00:11:12 | INFO     | src.storage.database | 数据库引擎创建: /tmp/tmplfn8u847/test.db
2026-03-28 00:11:12 | INFO     | src.storage.database | 数据库表创建完成: /tmp/tmplfn8u847/test.db
2026-03-28 00:11:12 | INFO     | src.storage.repositories | 创建会话: 6b27dbd9...
2026-03-28 00:11:12 | INFO     | src.storage.database | 数据库连接已关闭: /tmp/tmplfn8u847/test.db
2026-03-28 00:11:12 | INFO     | src.storage.database | 数据库引擎创建: /tmp/tmp8ilvtra4/test.db
2026-03-28 00:11:12 | INFO     | src.storage.database | 数据库表创建完成: /tmp/tmp8ilvtra4/test.db
2026-03-28 00:11:12 | INFO     | src.storage.repositories | 创建会话: 60604252...
2026-03-28 00:11:12 | INFO     | src.storage.database | 数据库连接已关闭: /tmp/tmp8ilvtra4/test.db
2026-03-28 00:11:12 | INFO     | src.storage.database | 数据库引擎创建: /tmp/tmpnvaaket6/test.db
2026-03-28 00:11:12 | INFO     | src.storage.database | 数据库表创建完成: /tmp/tmpnvaaket6/test.db
2026-03-28 00:11:12 | INFO     | src.storage.repositories | 创建会话: b6f2969b...
2026-03-28 00:11:12 | INFO     | src.storage.database | 数据库连接已关闭: /tmp/tmpnvaaket6/test.db
2026-03-28 00:11:12 | INFO     | src.storage.database | 数据库引擎创建: /tmp/tmp_h544hf4/test.db
2026-03-28 00:11:12 | INFO     | src.storage.database | 数据库表创建完成: /tmp/tmp_h544hf4/test.db
2026-03-28 00:11:12 | INFO     | src.storage.repositories | 创建会话: 570401d7...
2026-03-28 00:11:12 | INFO     | src.storage.repositories | 创建会话: 8504d84c...
2026-03-28 00:11:12 | INFO     | src.storage.database | 数据库连接已关闭: /tmp/tmp_h544hf4/test.db
2026-03-28 00:11:12 | INFO     | src.storage.database | 数据库引擎创建: /tmp/tmpst_b2pe4/test.db
2026-03-28 00:11:12 | INFO     | src.storage.database | 数据库表创建完成: /tmp/tmpst_b2pe4/test.db
2026-03-28 00:11:12 | INFO     | src.storage.repositories | 创建会话: df1460dc...
2026-03-28 00:11:12 | INFO     | src.storage.repositories | 创建会话: c6d6ec4a...
2026-03-28 00:11:12 | INFO     | src.storage.database | 数据库连接已关闭: /tmp/tmpst_b2pe4/test.db
2026-03-28 00:11:12 | INFO     | src.storage.database | 数据库引擎创建: /tmp/tmp17iyd_20/test.db
2026-03-28 00:11:12 | INFO     | src.storage.database | 数据库表创建完成: /tmp/tmp17iyd_20/test.db
2026-03-28 00:11:12 | INFO     | src.storage.repositories | 创建会话: 81229941...
2026-03-28 00:11:12 | INFO     | src.storage.database | 数据库连接已关闭: /tmp/tmp17iyd_20/test.db
2026-03-28 00:11:12 | INFO     | src.storage.database | 数据库引擎创建: /tmp/tmpvoog1405/test.db
2026-03-28 00:11:12 | INFO     | src.storage.database | 数据库表创建完成: /tmp/tmpvoog1405/test.db
2026-03-28 00:11:12 | INFO     | src.storage.repositories | 创建会话: 05cd06e3...
2026-03-28 00:11:12 | INFO     | src.storage.database | 数据库连接已关闭: /tmp/tmpvoog1405/test.db
2026-03-28 00:11:12 | INFO     | src.storage.database | 数据库引擎创建: /tmp/tmp5q1y4zvm/test.db
2026-03-28 00:11:12 | INFO     | src.storage.database | 数据库表创建完成: /tmp/tmp5q1y4zvm/test.db
2026-03-28 00:11:12 | INFO     | src.storage.repositories | 创建会话: c08f9937...
2026-03-28 00:11:12 | INFO     | src.storage.database | 数据库连接已关闭: /tmp/tmp5q1y4zvm/test.db
