2026-03-26 14:11:29 | INFO     | __main__ | ==================================================
2026-03-26 14:11:29 | INFO     | __main__ | 办公小工具整合平台 启动
2026-03-26 14:11:29 | INFO     | __main__ | ==================================================
2026-03-26 14:11:29 | INFO     | src.core.app_context | 开始初始化 AppContext...
2026-03-26 14:11:29 | INFO     | src.storage.database | 数据库引擎创建: data/app.db
2026-03-26 14:11:29 | INFO     | src.storage.database | 数据库表创建完成: data/app.db
2026-03-26 14:11:29 | INFO     | src.core.app_context | 数据库初始化完成: data/app.db
2026-03-26 14:11:29 | INFO     | src.core.app_context | AppContext 初始化完成
2026-03-26 14:11:29 | INFO     | __main__ | AppContext 初始化完成
2026-03-26 14:11:29 | INFO     | __main__ | 发现 0 个插件: []
2026-03-26 14:11:29 | WARNING  | src.ui.main_window | 页面不存在: home
2026-03-26 14:11:29 | INFO     | src.ui.main_window | MainWindow 初始化完成
2026-03-26 14:11:29 | INFO     | __main__ | 主窗口显示
2026-03-26 14:11:47 | INFO     | src.ui.main_window | 主窗口关闭
2026-03-26 14:11:47 | INFO     | __main__ | 应用关闭中...
2026-03-26 14:11:47 | INFO     | src.core.app_context | 开始关闭 AppContext...
2026-03-26 14:11:47 | INFO     | src.core.plugin_manager | 所有插件已卸载
2026-03-26 14:11:47 | INFO     | src.core.event_bus | 已清除所有事件订阅
2026-03-26 14:11:47 | INFO     | src.storage.database | 数据库连接已关闭: data/app.db
2026-03-26 14:11:47 | INFO     | src.core.app_context | AppContext 关闭完成
2026-03-26 14:11:47 | INFO     | __main__ | AppContext 已关闭
2026-03-26 14:11:47 | INFO     | __main__ | ==================================================
2026-03-26 14:11:47 | INFO     | __main__ | 应用退出 (code: 0)
2026-03-26 14:11:47 | INFO     | __main__ | ==================================================
2026-03-26 14:14:41 | ERROR    | src.core.event_bus | 事件处理器执行失败: plugin.loaded, 订阅ID: cfd50bc6..., 错误: division by zero
Traceback (most recent call last):
  File "/home/jdy/Documents/Github/office/src/core/event_bus.py", line 235, in publish
    handler(event)
  File "/home/jdy/Documents/Github/office/tests/test_event_bus.py", line 126, in <lambda>
    bus.subscribe(EventType.PLUGIN_LOADED, lambda e: 1 / 0)
                                                     ~~^~~
ZeroDivisionError: division by zero
2026-03-26 14:14:41 | INFO     | src.core.event_bus | 已清除所有事件订阅
2026-03-26 14:14:41 | WARNING  | src.core.event_bus | 取消订阅失败: 未找到订阅ID nonexist...
2026-03-26 14:14:41 | INFO     | src.core.permission_manager | 授权: 插件 'test_plugin' 获得权限 'file.read'
2026-03-26 14:14:41 | INFO     | src.core.permission_manager | 批量授权: 插件 'test_plugin' 获得权限: ['file.read', 'file.write']
2026-03-26 14:14:41 | INFO     | src.core.permission_manager | 授权: 插件 'test_plugin' 获得权限 'file.read'
2026-03-26 14:14:41 | INFO     | src.core.permission_manager | 撤销: 插件 'test_plugin' 失去权限 'file.read'
2026-03-26 14:14:41 | INFO     | src.core.permission_manager | 批量授权: 插件 'test_plugin' 获得权限: ['file.read', 'file.write']
